news_id,Date,Headline,Source,Market_Event,Sector,query_text,rank,predicted_ticker,final_score,bi_score,cross_score,boost,sentiment_label,sentiment_confidence,sentiment_score,sentiment_adjusted_score
37,2025-06-25,Government spending bill is expected to stimulate the economy,Forbes,Commodity Price Shock,Pharmaceuticals,Government spending bill is expected to stimulate the economy | Commodity Price Shock | Pharmaceuticals | Low | Negative | S&P/TSX Composite,1,03081,0.989264,0.789264,0.0,0.2,positive,0.913673,1,1.21523
38,2025-06-13,Bond yields tumble as investors seek safe havens,Forbes,Stock Market Crash,Aerospace & Defense,Bond yields tumble as investors seek safe havens | Stock Market Crash | Aerospace & Defense | High | NSE Nifty,1,03077,0.822478,0.822478,0.0,0.0,negative,0.953942,-1,0.626329
39,2025-07-13,Government spending bill is expected to stimulate the economy,Financial Times,Cryptocurrency Regulation,Agriculture,Government spending bill is expected to stimulate the economy | Cryptocurrency Regulation | Agriculture | Low | Negative | CAC 40,1,03077,0.823589,0.823589,0.0,0.0,positive,0.913673,1,1.011712
40,2025-02-24,Financial sector bracing for new capital requirements,The Economist,Cryptocurrency Regulation,Industrials,Financial sector bracing for new capital requirements | Cryptocurrency Regulation | Industrials | Medium | Euro Stoxx 50,1,03077,0.824536,0.824536,0.0,0.0,negative,0.87031,-1,0.645135
41,2025-05-02,Financial services stocks rally on strong profit margins,Investopedia,Cryptocurrency Regulation,Materials,Financial services stocks rally on strong profit margins | Cryptocurrency Regulation | Materials | High | Negative | Hang Seng,1,02800,0.820999,0.820999,0.0,0.0,positive,0.883444,1,1.002326
42,2025-05-15,Government subsidy program gives a lift to the agriculture sector,Bloomberg,Central Bank Meeting,Agriculture,Government subsidy program gives a lift to the agriculture sector | Central Bank Meeting | Agriculture | Low | Positive | Nikkei 225,1,02821,0.78233,0.78233,0.0,0.0,positive,0.917761,1,0.961828
43,2025-06-09,Federal Reserve Chairman's speech causes market volatility,Reuters,Consumer Confidence Report,Transportation,Federal Reserve Chairman's speech causes market volatility | Consumer Confidence Report | Transportation | Low | Positive | TSX,1,03077,0.805702,0.805702,0.0,0.0,negative,0.836676,-1,0.637174
44,2025-07-20,Gold prices surge as investors flee riskier assets,Seeking Alpha,Government Policy Announcement,Telecommunications,Gold prices surge as investors flee riskier assets | Government Policy Announcement | Telecommunications | Medium | Positive | KOSPI,1,02840,0.831462,0.831462,0.0,0.0,negative,0.720289,-1,0.681739
45,2025-04-05,Real Estate sector shows signs of overheating as interest rates fall,Business Standard,Geopolitical Event,Agriculture,Real Estate sector shows signs of overheating as interest rates fall | Geopolitical Event | Agriculture | Low | Neutral | ASX 200,1,02840,0.912572,0.812572,0.0,0.1,negative,0.96423,-1,0.69259
46,2025-07-01,Semiconductor shortages weigh heavily on tech sector profits,Business Standard,Major Merger/Acquisition,Real Estate,Semiconductor shortages weigh heavily on tech sector profits | Major Merger/Acquisition | Real Estate | High | Positive | S&P 500,1,03486,0.903122,0.803122,0.0,0.1,negative,0.942673,-1,0.690285
47,2025-03-21,Semiconductor shortages weigh heavily on tech sector profits,Mint,Economic Data Release,Utilities,Semiconductor shortages weigh heavily on tech sector profits | Economic Data Release | Utilities | Low | Neutral | FTSE 100,1,03486,0.908219,0.808219,0.0,0.1,negative,0.942673,-1,0.694181
48,2025-05-07,Gold prices surge as investors flee riskier assets,The Economist,Trade Tariffs Announcement,Media & Entertainment,Gold prices surge as investors flee riskier assets | Trade Tariffs Announcement | Media & Entertainment | Medium | Neutral | IBOVESPA,1,02840,0.82692,0.82692,0.0,0.0,negative,0.720289,-1,0.678015
49,2025-02-14,Government subsidy program gives a lift to the agriculture sector,Mint,Corporate Earnings Report,Healthcare,Government subsidy program gives a lift to the agriculture sector | Corporate Earnings Report | Healthcare | Medium | Neutral | S&P/TSX Composite,1,03165,0.788426,0.788426,0.0,0.0,positive,0.917761,1,0.969323
50,2025-04-27,,Wall Street Journal,Market Rally,Automotive,nan | Market Rally | Automotive | High | Negative | BSE Sensex,1,03165,0.796518,0.796518,0.0,0.0,neutral,0.524371,0,0.796518
51,2025-05-15,Geopolitical ceasefire prompts a broad market recovery,Mint,Corporate Earnings Report,Materials,Geopolitical ceasefire prompts a broad market recovery | Corporate Earnings Report | Materials | High | Neutral | Dow Jones,1,03477,0.88932,0.78932,0.0,0.1,neutral,0.720305,0,0.88932
52,2025-02-09,Massive stock buyback program announced by a consumer goods company,Investopedia,Corporate Earnings Report,Agriculture,Massive stock buyback program announced by a consumer goods company | Corporate Earnings Report | Agriculture | Medium | Positive | NSE Nifty,1,03165,0.808852,0.808852,0.0,0.0,neutral,0.685082,0,0.808852
53,2025-06-15,Media and Entertainment companies report a surge in streaming revenue,Barron's,Economic Data Release,Consumer Goods,Media and Entertainment companies report a surge in streaming revenue | Economic Data Release | Consumer Goods | Low | Neutral | Euro Stoxx 50,1,03165,0.788875,0.788875,0.0,0.0,positive,0.893271,1,0.965045
54,2025-03-16,A massive data breach sends a tech company's stock tumbling,Investopedia,Unemployment Rate Announcement,Automotive,A massive data breach sends a tech company's stock tumbling | Unemployment Rate Announcement | Automotive | Medium | Neutral | Shanghai Composite,1,03032,0.81632,0.81632,0.0,0.0,negative,0.890495,-1,0.634588
55,2025-06-21,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Financial Times,Major Merger/Acquisition,Transportation,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Major Merger/Acquisition | Transportation | High | Neutral | IBOVESPA,1,03477,0.783455,0.783455,0.0,0.0,positive,0.692591,1,0.919108
56,2025-03-18,Geopolitical ceasefire prompts a broad market recovery,Times of India,Stock Market Crash,Materials,Geopolitical ceasefire prompts a broad market recovery | Stock Market Crash | Materials | Low | Neutral | Dow Jones,1,03087,0.896631,0.796631,0.0,0.1,neutral,0.720305,0,0.896631
57,2025-03-15,Mining company stock surges on commodity price boom,Economic Times,Market Rally,Finance,Mining company stock surges on commodity price boom | Market Rally | Finance | Low | KOSPI,1,03047,1.00297,0.80297,0.0,0.2,negative,0.916112,-1,0.773262
58,2025-06-08,Healthcare stocks gain on robust demand and strong outlook,The Motley Fool,Inflation Data Release,Materials,Healthcare stocks gain on robust demand and strong outlook | Inflation Data Release | Materials | Medium | Neutral | DAX,1,03081,0.787349,0.787349,0.0,0.0,positive,0.944635,1,0.973288
59,2025-05-23,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Seeking Alpha,Consumer Confidence Report,Construction,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Consumer Confidence Report | Construction | Low | Positive | Russell 2000,1,03081,0.763672,0.763672,0.0,0.0,positive,0.692591,1,0.8959
60,2025-03-31,Central Bank Governor signals potential shift in policy,CNBC,Interest Rate Change,Industrials,Central Bank Governor signals potential shift in policy | Interest Rate Change | Industrials | High | Neutral | Dow Jones,1,03081,0.9028,0.8028,0.0,0.1,negative,0.65296,-1,0.755427
61,2025-04-14,Banking stocks dip after a major scandal is revealed,Financial Times,Cryptocurrency Regulation,Agriculture,Banking stocks dip after a major scandal is revealed | Cryptocurrency Regulation | Agriculture | Low | Negative | Hang Seng,1,02800,0.825432,0.825432,0.0,0.0,negative,0.942514,-1,0.630937
62,2025-07-15,Financial sector bracing for new capital requirements,The Motley Fool,IPO Launch,Aerospace & Defense,Financial sector bracing for new capital requirements | IPO Launch | Aerospace & Defense | Low | Positive | TSX,1,03077,0.81205,0.81205,0.0,0.0,negative,0.87031,-1,0.635366
63,2025-07-13,Aerospace and Defense sector sees rally amid geopolitical tensions,The Economist,Commodity Price Shock,Real Estate,Aerospace and Defense sector sees rally amid geopolitical tensions | Commodity Price Shock | Real Estate | High | ASX 200,1,03081,1.006296,0.806296,0.0,0.2,negative,0.516719,-1,0.876303
64,2025-06-15,Bond yields tumble as investors seek safe havens,Mint,Geopolitical Event,Industrials,Bond yields tumble as investors seek safe havens | Geopolitical Event | Industrials | Low | Positive | FTSE 100,1,03077,0.812405,0.812405,0.0,0.0,negative,0.953942,-1,0.618658
65,2025-05-20,UK's FTSE 100 sees a boost from favorable trade data,The Motley Fool,Corporate Earnings Report,Technology,UK's FTSE 100 sees a boost from favorable trade data | Corporate Earnings Report | Technology | Medium | Neutral | Nasdaq Composite,1,03165,0.77946,0.77946,0.0,0.0,positive,0.94704,1,0.964005
66,2025-03-06,Government subsidy program gives a lift to the agriculture sector,Business Standard,Commodity Price Shock,Transportation,Government subsidy program gives a lift to the agriculture sector | Commodity Price Shock | Transportation | High | Positive | Russell 2000,1,03081,0.987843,0.787843,0.0,0.2,positive,0.917761,1,1.214494
67,2025-06-10,Semiconductor shortages weigh heavily on tech sector profits,Economic Times,Interest Rate Change,Agriculture,Semiconductor shortages weigh heavily on tech sector profits | Interest Rate Change | Agriculture | Medium | Positive | TSX,1,03486,1.009447,0.809447,0.0,0.2,negative,0.942673,-1,0.771552
68,2025-06-17,New housing data release shows a slowdown in market activity,Times of India,Unemployment Rate Announcement,Telecommunications,New housing data release shows a slowdown in market activity | Unemployment Rate Announcement | Telecommunications | Low | Positive | Euro Stoxx 50,1,03165,0.78828,0.78828,0.0,0.0,negative,0.970689,-1,0.596986
69,2025-02-02,Utilities sector remains stable during market fluctuations,Economic Times,Economic Data Release,Energy,Utilities sector remains stable during market fluctuations | Economic Data Release | Energy | High | Negative | DAX,1,03175,0.804339,0.804339,0.0,0.0,positive,0.80296,1,0.965802
70,2025-07-17,Central bank maintains status quo on interest rates,MarketWatch,Trade Tariffs Announcement,Agriculture,Central bank maintains status quo on interest rates | Trade Tariffs Announcement | Agriculture | High | Negative | S&P 500,1,03077,0.90985,0.80985,0.0,0.1,neutral,0.917198,0,0.90985
71,2025-02-15,E-commerce earnings report beats all analyst expectations,Barron's,Supply Chain Disruption,Finance,E-commerce earnings report beats all analyst expectations | Supply Chain Disruption | Finance | High | Negative | Euro Stoxx 50,1,03165,0.787083,0.787083,0.0,0.0,positive,0.681343,1,0.921151
72,2025-05-18,Unexpected rise in unemployment fuels market pessimism,Financial Times,Government Policy Announcement,Consumer Goods,Unexpected rise in unemployment fuels market pessimism | Government Policy Announcement | Consumer Goods | Low | Negative | TSX,1,03077,0.792799,0.792799,0.0,0.0,negative,0.913377,-1,0.611768
73,2025-02-18,Merger talks between two banks fall through,Seeking Alpha,Cryptocurrency Regulation,Retail,Merger talks between two banks fall through | Cryptocurrency Regulation | Retail | High | Neutral | S&P/TSX Composite,1,03129,0.792727,0.792727,0.0,0.0,negative,0.95868,-1,0.602734
74,2025-05-24,Automotive industry faces headwinds from rising material costs,Mint,Major Merger/Acquisition,Finance,Automotive industry faces headwinds from rising material costs | Major Merger/Acquisition | Finance | High | Neutral | Nasdaq Composite,1,02846,0.795719,0.795719,0.0,0.0,negative,0.968818,-1,0.602992
75,2025-06-05,Geopolitical ceasefire prompts a broad market recovery,Yahoo Finance,Interest Rate Change,Finance,Geopolitical ceasefire prompts a broad market recovery | Interest Rate Change | Finance | High | Negative | DAX,1,03087,1.008224,0.808224,0.0,0.2,neutral,0.720306,0,1.008224
76,2025-02-11,New IPO for a popular software firm is oversubscribed,Mint,Bond Market Fluctuation,Media & Entertainment,New IPO for a popular software firm is oversubscribed | Bond Market Fluctuation | Media & Entertainment | Medium | Positive | Nikkei 225,1,03153,0.819394,0.819394,0.0,0.0,negative,0.952246,-1,0.624328
77,2025-07-28,Massive stock buyback program announced by a consumer goods company,The Motley Fool,Regulatory Changes,Construction,Massive stock buyback program announced by a consumer goods company | Regulatory Changes | Construction | Low | Positive | Hang Seng,1,03179,0.822407,0.822407,0.0,0.0,neutral,0.685083,0,0.822407
78,2025-06-05,Market sentiment turns positive on vaccine trial results,CNBC,Bond Market Fluctuation,Media & Entertainment,Market sentiment turns positive on vaccine trial results | Bond Market Fluctuation | Media & Entertainment | Medium | Neutral | Euro Stoxx 50,1,03165,0.818839,0.818839,0.0,0.0,positive,0.937714,1,1.010798
79,2025-03-16,Financial services stocks rally on strong profit margins,Economic Times,Bond Market Fluctuation,Utilities,Financial services stocks rally on strong profit margins | Bond Market Fluctuation | Utilities | Medium | Positive | ASX 200,1,02846,0.800267,0.800267,0.0,0.0,positive,0.883444,1,0.977015
80,2025-05-05,Gold prices surge as investors flee riskier assets,Barron's,Government Policy Announcement,Transportation,Gold prices surge as investors flee riskier assets | Government Policy Announcement | Transportation | Low | Negative | Nasdaq Composite,1,03081,0.821819,0.821819,0.0,0.0,negative,0.720289,-1,0.673832
81,2025-04-07,Central bank maintains status quo on interest rates,Times of India,Central Bank Meeting,Transportation,Central bank maintains status quo on interest rates | Central Bank Meeting | Transportation | Low | Positive | Hang Seng,1,03077,0.913796,0.813796,0.0,0.1,neutral,0.917198,0,0.913796
82,2025-08-05,Geopolitical ceasefire prompts a broad market recovery,Investopedia,Currency Devaluation,Media & Entertainment,Geopolitical ceasefire prompts a broad market recovery | Currency Devaluation | Media & Entertainment | Low | Neutral | DAX,1,03020,0.904802,0.804802,0.0,0.1,neutral,0.720306,0,0.904802
83,2025-06-07,Government subsidy program gives a lift to the agriculture sector,Mint,Supply Chain Disruption,Consumer Goods,Government subsidy program gives a lift to the agriculture sector | Supply Chain Disruption | Consumer Goods | High | Negative | ASX 200,1,03081,0.787054,0.787054,0.0,0.0,positive,0.917761,1,0.967636
84,2025-02-04,Major oil spill sends energy stocks plummeting,The Hindu Business Line,Economic Data Release,Healthcare,Major oil spill sends energy stocks plummeting | Economic Data Release | Healthcare | Medium | Negative | S&P 500,1,03175,1.003509,0.803509,0.0,0.2,negative,0.95815,-1,0.763131
85,2025-06-18,Government subsidy program gives a lift to the agriculture sector,Mint,Geopolitical Event,Telecommunications,Government subsidy program gives a lift to the agriculture sector | Geopolitical Event | Telecommunications | Low | Dow Jones,1,03077,0.77611,0.77611,0.0,0.0,positive,0.917761,1,0.954181
86,2025-05-14,Media and Entertainment companies report a surge in streaming revenue,Wall Street Journal,IPO Launch,Agriculture,Media and Entertainment companies report a surge in streaming revenue | IPO Launch | Agriculture | High | DAX,1,02846,0.780772,0.780772,0.0,0.0,positive,0.893271,1,0.955132
87,2025-03-06,"Global trade talks collapse, causing market turmoil",The Motley Fool,Trade Tariffs Announcement,Agriculture,"Global trade talks collapse, causing market turmoil | Trade Tariffs Announcement | Agriculture | High | Positive | DAX",1,02840,0.907276,0.807276,0.0,0.1,negative,0.926468,-1,0.697135
88,2025-03-25,Energy company's dividend hike excites shareholders,CNBC,Economic Data Release,Energy,Energy company's dividend hike excites shareholders | Economic Data Release | Energy | High | Negative | Euro Stoxx 50,1,02809,0.793386,0.793386,0.0,0.0,positive,0.553234,1,0.903118
89,2025-02-17,Government policy shift boosts renewable energy sector,Reuters,Supply Chain Disruption,Transportation,Government policy shift boosts renewable energy sector | Supply Chain Disruption | Transportation | Medium | Positive | IBOVESPA,1,02809,0.785917,0.785917,0.0,0.0,positive,0.938796,1,0.970371
90,2025-03-11,UK's FTSE 100 sees a boost from favorable trade data,Yahoo Finance,Corporate Earnings Report,Media & Entertainment,UK's FTSE 100 sees a boost from favorable trade data | Corporate Earnings Report | Media & Entertainment | High | Neutral | Nikkei 225,1,03165,0.789117,0.789117,0.0,0.0,positive,0.94704,1,0.975948
91,2025-03-06,Crude oil prices drop to a multi-year low,The Motley Fool,Supply Chain Disruption,Telecommunications,Crude oil prices drop to a multi-year low | Supply Chain Disruption | Telecommunications | Medium | Positive | Nasdaq Composite,1,03175,0.990472,0.790472,0.0,0.2,negative,0.962729,-1,0.752083
92,2025-03-05,New housing data release shows a slowdown in market activity,Investopedia,Inflation Data Release,Media & Entertainment,New housing data release shows a slowdown in market activity | Inflation Data Release | Media & Entertainment | High | Neutral | BSE Sensex,1,03165,0.809531,0.809531,0.0,0.0,negative,0.970689,-1,0.61308
93,2025-02-25,Market braces for a major policy announcement from the EU,Times of India,Central Bank Meeting,Real Estate,Market braces for a major policy announcement from the EU | Central Bank Meeting | Real Estate | Low | Positive | TSX,1,03081,0.801012,0.801012,0.0,0.0,neutral,0.55384,0,0.801012
94,2025-05-27,Market braces for a major policy announcement from the EU,The Economist,Market Rally,Transportation,Market braces for a major policy announcement from the EU | Market Rally | Transportation | Low | Positive | DAX,1,03165,0.791015,0.791015,0.0,0.0,neutral,0.55384,0,0.791015
95,2025-06-11,Aerospace and Defense sector sees rally amid geopolitical tensions,Yahoo Finance,Consumer Confidence Report,Agriculture,Aerospace and Defense sector sees rally amid geopolitical tensions | Consumer Confidence Report | Agriculture | Low | Positive | Euro Stoxx 50,1,03165,0.791387,0.791387,0.0,0.0,negative,0.516719,-1,0.689156
96,2025-07-12,Pharmaceutical company's drug approval drives stock upward,Wall Street Journal,Inflation Data Release,Automotive,Pharmaceutical company's drug approval drives stock upward | Inflation Data Release | Automotive | Low | Negative | TSX,1,02841,0.783216,0.783216,0.0,0.0,negative,0.662693,-1,0.653458
97,2025-08-08,Crude oil prices drop to a multi-year low,Seeking Alpha,Consumer Confidence Report,Transportation,Crude oil prices drop to a multi-year low | Consumer Confidence Report | Transportation | Medium | Neutral | FTSE 100,1,03175,1.010611,0.810611,0.0,0.2,negative,0.962729,-1,0.767375
98,2025-07-26,Mining company stock surges on commodity price boom,Reuters,Major Merger/Acquisition,Real Estate,Mining company stock surges on commodity price boom | Major Merger/Acquisition | Real Estate | Low | Neutral | BSE Sensex,1,03047,1.001737,0.801737,0.0,0.2,negative,0.916112,-1,0.772311
99,2025-06-28,A massive data breach sends a tech company's stock tumbling,Financial Times,Geopolitical Event,Healthcare,A massive data breach sends a tech company's stock tumbling | Geopolitical Event | Healthcare | Low | ASX 200,1,03032,0.80751,0.80751,0.0,0.0,negative,0.890495,-1,0.627739
100,2025-05-06,,The Economist,Regulatory Changes,Pharmaceuticals,nan | Regulatory Changes | Pharmaceuticals | Medium | Neutral | Dow Jones,1,03165,0.798592,0.798592,0.0,0.0,neutral,0.891343,0,0.798592
