news_id,Date,Headline,Source,Market_Event,Sector,query_text,rank,predicted_ticker,final_score,bi_score,cross_score,boost,sentiment_label,sentiment_confidence,sentiment_score,sentiment_adjusted_score
4,2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Commodity Price Shock,Consumer Goods,Massive stock buyback program announced by a consumer goods company | Commodity Price Shock | Consumer Goods | Low | Positive | NSE Nifty,2,03175,1.00119,0.80119,0.0,0.2,neutral,0.685082,0,1.00119
4,2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Commodity Price Shock,Consumer Goods,Massive stock buyback program announced by a consumer goods company | Commodity Price Shock | Consumer Goods | Low | Positive | NSE Nifty,3,03179,0.914047,0.814047,0.0,0.1,neutral,0.685082,0,0.914047
5,2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Inflation Data Release,Consumer Goods,Government spending bill is expected to stimulate the economy | Inflation Data Release | Consumer Goods | Low | Negative | Nasdaq Composite,1,03077,0.811227,0.811227,0.0,0.0,positive,0.913673,1,0.996526
5,2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Inflation Data Release,Consumer Goods,Government spending bill is expected to stimulate the economy | Inflation Data Release | Consumer Goods | Low | Negative | Nasdaq Composite,2,03034,0.805425,0.805425,0.0,0.0,positive,0.913673,1,0.989399
5,2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Inflation Data Release,Consumer Goods,Government spending bill is expected to stimulate the economy | Inflation Data Release | Consumer Goods | Low | Negative | Nasdaq Composite,3,03411,0.799039,0.799039,0.0,0.0,positive,0.913673,1,0.981554
6,2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Unemployment Rate Announcement,Transportation,Central bank maintains status quo on interest rates | Unemployment Rate Announcement | Transportation | Low | Negative | IBOVESPA,1,03077,0.906761,0.806761,0.0,0.1,neutral,0.917198,0,0.906761
6,2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Unemployment Rate Announcement,Transportation,Central bank maintains status quo on interest rates | Unemployment Rate Announcement | Transportation | Low | Negative | IBOVESPA,2,03411,0.896664,0.796664,0.0,0.1,neutral,0.917198,0,0.896664
6,2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Unemployment Rate Announcement,Transportation,Central bank maintains status quo on interest rates | Unemployment Rate Announcement | Transportation | Low | Negative | IBOVESPA,3,03471,0.896386,0.796386,0.0,0.1,neutral,0.917198,0,0.896386
7,2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,IPO Launch,Telecommunications,Tech Giant's New Product Launch Sparks Sector-Wide Gains | IPO Launch | Telecommunications | Medium | Neutral | Shanghai Composite,1,03477,0.792736,0.792736,0.0,0.0,positive,0.870487,1,0.965253
7,2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,IPO Launch,Telecommunications,Tech Giant's New Product Launch Sparks Sector-Wide Gains | IPO Launch | Telecommunications | Medium | Neutral | Shanghai Composite,2,03406,0.788395,0.788395,0.0,0.0,positive,0.870487,1,0.959967
7,2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,IPO Launch,Telecommunications,Tech Giant's New Product Launch Sparks Sector-Wide Gains | IPO Launch | Telecommunications | Medium | Neutral | Shanghai Composite,3,03169,0.785307,0.785307,0.0,0.0,positive,0.870487,1,0.956207
8,2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Geopolitical Event,Retail,A massive data breach sends a tech company's stock tumbling | Geopolitical Event | Retail | Low | Positive | DAX,1,03448,0.809754,0.809754,0.0,0.0,negative,0.890495,-1,0.629483
8,2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Geopolitical Event,Retail,A massive data breach sends a tech company's stock tumbling | Geopolitical Event | Retail | Low | Positive | DAX,2,03129,0.80933,0.80933,0.0,0.0,negative,0.890495,-1,0.629154
8,2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Geopolitical Event,Retail,A massive data breach sends a tech company's stock tumbling | Geopolitical Event | Retail | Low | Positive | DAX,3,03175,0.809224,0.809224,0.0,0.0,negative,0.890495,-1,0.629071
9,2025-04-08,,Financial Times,Trade Tariffs Announcement,Automotive,nan | Trade Tariffs Announcement | Automotive | Low | Positive | S&P/TSX Composite,1,03165,0.795854,0.795854,0.0,0.0,neutral,0.868559,0,0.795854
9,2025-04-08,,Financial Times,Trade Tariffs Announcement,Automotive,nan | Trade Tariffs Announcement | Automotive | Low | Positive | S&P/TSX Composite,2,03179,0.793452,0.793452,0.0,0.0,neutral,0.868559,0,0.793452
9,2025-04-08,,Financial Times,Trade Tariffs Announcement,Automotive,nan | Trade Tariffs Announcement | Automotive | Low | Positive | S&P/TSX Composite,3,03169,0.791273,0.791273,0.0,0.0,neutral,0.868559,0,0.791273
10,2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Trade Tariffs Announcement,Energy,Market sentiment turns positive on vaccine trial results | Trade Tariffs Announcement | Energy | Low | Negative | Nikkei 225,1,03153,0.797711,0.797711,0.0,0.0,positive,0.937714,1,0.984717
10,2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Trade Tariffs Announcement,Energy,Market sentiment turns positive on vaccine trial results | Trade Tariffs Announcement | Energy | Low | Negative | Nikkei 225,2,03179,0.797539,0.797539,0.0,0.0,positive,0.937714,1,0.984505
10,2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Trade Tariffs Announcement,Energy,Market sentiment turns positive on vaccine trial results | Trade Tariffs Announcement | Energy | Low | Negative | Nikkei 225,3,02809,0.795909,0.795909,0.0,0.0,positive,0.937714,1,0.982493
11,2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,Consumer Confidence Report,Transportation,"Global trade talks collapse, causing market turmoil | Consumer Confidence Report | Transportation | Medium | Positive | FTSE 100",1,02840,0.911429,0.811429,0.0,0.1,negative,0.926468,-1,0.700327
11,2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,Consumer Confidence Report,Transportation,"Global trade talks collapse, causing market turmoil | Consumer Confidence Report | Transportation | Medium | Positive | FTSE 100",2,03169,0.903037,0.803037,0.0,0.1,negative,0.926468,-1,0.693878
11,2025-07-17,"Global trade talks collapse, causing market turmoil",Investopedia,Consumer Confidence Report,Transportation,"Global trade talks collapse, causing market turmoil | Consumer Confidence Report | Transportation | Medium | Positive | FTSE 100",3,03081,0.901977,0.801977,0.0,0.1,negative,0.926468,-1,0.693064
12,2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,Commodity Price Shock,Pharmaceuticals,Aerospace and Defense sector sees rally amid geopolitical tensions | Commodity Price Shock | Pharmaceuticals | Medium | TSX,1,03081,1.000344,0.800344,0.0,0.2,negative,0.516719,-1,0.87112
12,2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,Commodity Price Shock,Pharmaceuticals,Aerospace and Defense sector sees rally amid geopolitical tensions | Commodity Price Shock | Pharmaceuticals | Medium | TSX,2,03175,0.985737,0.785737,0.0,0.2,negative,0.516719,-1,0.8584
12,2025-05-28,Aerospace and Defense sector sees rally amid geopolitical tensions,Investopedia,Commodity Price Shock,Pharmaceuticals,Aerospace and Defense sector sees rally amid geopolitical tensions | Commodity Price Shock | Pharmaceuticals | Medium | TSX,3,02846,0.891323,0.791323,0.0,0.1,negative,0.516719,-1,0.776182
13,2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,Government Policy Announcement,Healthcare,Supply chain issues impact manufacturing sector earnings | Government Policy Announcement | Healthcare | High | Neutral | ASX 200,1,03081,0.813029,0.813029,0.0,0.0,negative,0.681805,-1,0.674447
13,2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,Government Policy Announcement,Healthcare,Supply chain issues impact manufacturing sector earnings | Government Policy Announcement | Healthcare | High | Neutral | ASX 200,2,03165,0.810192,0.810192,0.0,0.0,negative,0.681805,-1,0.672094
13,2025-04-28,Supply chain issues impact manufacturing sector earnings,The Economist,Government Policy Announcement,Healthcare,Supply chain issues impact manufacturing sector earnings | Government Policy Announcement | Healthcare | High | Neutral | ASX 200,3,03175,0.80775,0.80775,0.0,0.0,negative,0.681805,-1,0.670068
14,2025-02-28,,Investopedia,Unemployment Rate Announcement,Aerospace & Defense,nan | Unemployment Rate Announcement | Aerospace & Defense | Low | Negative | Nasdaq Composite,1,03182,0.804458,0.804458,0.0,0.0,negative,0.706883,-1,0.662294
14,2025-02-28,,Investopedia,Unemployment Rate Announcement,Aerospace & Defense,nan | Unemployment Rate Announcement | Aerospace & Defense | Low | Negative | Nasdaq Composite,2,03034,0.800469,0.800469,0.0,0.0,negative,0.706883,-1,0.659009
14,2025-02-28,,Investopedia,Unemployment Rate Announcement,Aerospace & Defense,nan | Unemployment Rate Announcement | Aerospace & Defense | Low | Negative | Nasdaq Composite,3,03077,0.79203,0.79203,0.0,0.0,negative,0.706883,-1,0.652062
15,2025-06-30,Market braces for a major policy announcement from the EU,Reuters,Bond Market Fluctuation,Finance,Market braces for a major policy announcement from the EU | Bond Market Fluctuation | Finance | Medium | Positive | BSE Sensex,1,03165,0.810406,0.810406,0.0,0.0,neutral,0.55384,0,0.810406
15,2025-06-30,Market braces for a major policy announcement from the EU,Reuters,Bond Market Fluctuation,Finance,Market braces for a major policy announcement from the EU | Bond Market Fluctuation | Finance | Medium | Positive | BSE Sensex,2,03077,0.81013,0.81013,0.0,0.0,neutral,0.55384,0,0.81013
15,2025-06-30,Market braces for a major policy announcement from the EU,Reuters,Bond Market Fluctuation,Finance,Market braces for a major policy announcement from the EU | Bond Market Fluctuation | Finance | Medium | Positive | BSE Sensex,3,03081,0.808471,0.808471,0.0,0.0,neutral,0.55384,0,0.808471
16,2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Regulatory Changes,Industrials,New IPO for a popular software firm is oversubscribed | Regulatory Changes | Industrials | Medium | Negative | Shanghai Composite,1,03432,0.805585,0.805585,0.0,0.0,negative,0.952246,-1,0.613806
16,2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Regulatory Changes,Industrials,New IPO for a popular software firm is oversubscribed | Regulatory Changes | Industrials | Medium | Negative | Shanghai Composite,2,03033,0.804512,0.804512,0.0,0.0,negative,0.952246,-1,0.612989
16,2025-05-26,New IPO for a popular software firm is oversubscribed,The Motley Fool,Regulatory Changes,Industrials,New IPO for a popular software firm is oversubscribed | Regulatory Changes | Industrials | Medium | Negative | Shanghai Composite,3,03473,0.804433,0.804433,0.0,0.0,negative,0.952246,-1,0.612929
17,2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,Market Rally,Real Estate,Market sentiment turns positive on vaccine trial results | Market Rally | Real Estate | Low | Negative | KOSPI,1,03428,0.804986,0.804986,0.0,0.0,positive,0.937714,1,0.993698
17,2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,Market Rally,Real Estate,Market sentiment turns positive on vaccine trial results | Market Rally | Real Estate | Low | Negative | KOSPI,2,03165,0.802287,0.802287,0.0,0.0,positive,0.937714,1,0.990366
17,2025-06-02,Market sentiment turns positive on vaccine trial results,The Motley Fool,Market Rally,Real Estate,Market sentiment turns positive on vaccine trial results | Market Rally | Real Estate | Low | Negative | KOSPI,3,03175,0.798648,0.798648,0.0,0.0,positive,0.937714,1,0.985874
18,2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Inflation Data Release,Aerospace & Defense,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Inflation Data Release | Aerospace & Defense | High | Positive | Shanghai Composite,1,03477,0.790175,0.790175,0.0,0.0,positive,0.692591,1,0.926992
18,2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Inflation Data Release,Aerospace & Defense,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Inflation Data Release | Aerospace & Defense | High | Positive | Shanghai Composite,2,03191,0.787439,0.787439,0.0,0.0,positive,0.692591,1,0.923782
18,2025-04-02,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Barron's,Inflation Data Release,Aerospace & Defense,Major technology firm acquires a smaller rival in a multi-billion dollar deal | Inflation Data Release | Aerospace & Defense | High | Positive | Shanghai Composite,3,03406,0.786767,0.786767,0.0,0.0,positive,0.692591,1,0.922994
19,2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Inflation Data Release,Retail,Manufacturing PMI data signals economic expansion | Inflation Data Release | Retail | Low | Nasdaq Composite,1,03077,0.806004,0.806004,0.0,0.0,positive,0.831785,1,0.97361
19,2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Inflation Data Release,Retail,Manufacturing PMI data signals economic expansion | Inflation Data Release | Retail | Low | Nasdaq Composite,2,03182,0.800103,0.800103,0.0,0.0,positive,0.831785,1,0.966481
19,2025-07-18,Manufacturing PMI data signals economic expansion,CNBC,Inflation Data Release,Retail,Manufacturing PMI data signals economic expansion | Inflation Data Release | Retail | Low | Nasdaq Composite,3,03034,0.797006,0.797006,0.0,0.0,positive,0.831785,1,0.96274
20,2025-07-22,Financial services stocks rally on strong profit margins,Forbes,Trade Tariffs Announcement,Finance,Financial services stocks rally on strong profit margins | Trade Tariffs Announcement | Finance | Medium | Positive | BSE Sensex,1,02836,0.802715,0.802715,0.0,0.0,positive,0.883444,1,0.980003
20,2025-07-22,Financial services stocks rally on strong profit margins,Forbes,Trade Tariffs Announcement,Finance,Financial services stocks rally on strong profit margins | Trade Tariffs Announcement | Finance | Medium | Positive | BSE Sensex,2,03165,0.797782,0.797782,0.0,0.0,positive,0.883444,1,0.973981
20,2025-07-22,Financial services stocks rally on strong profit margins,Forbes,Trade Tariffs Announcement,Finance,Financial services stocks rally on strong profit margins | Trade Tariffs Announcement | Finance | Medium | Positive | BSE Sensex,3,02846,0.793483,0.793483,0.0,0.0,positive,0.883444,1,0.968732
21,2025-05-21,,Yahoo Finance,Commodity Price Shock,Industrials,nan | Commodity Price Shock | Industrials | Medium | Negative | Nasdaq Composite,1,03081,1.001233,0.801233,0.0,0.2,negative,0.594779,-1,0.852355
21,2025-05-21,,Yahoo Finance,Commodity Price Shock,Industrials,nan | Commodity Price Shock | Industrials | Medium | Negative | Nasdaq Composite,2,03034,0.912687,0.812687,0.0,0.1,negative,0.594779,-1,0.776975
21,2025-05-21,,Yahoo Finance,Commodity Price Shock,Industrials,nan | Commodity Price Shock | Industrials | Medium | Negative | Nasdaq Composite,3,03182,0.910588,0.810588,0.0,0.1,negative,0.594779,-1,0.775188
22,2025-08-03,Mining company stock surges on commodity price boom,CNBC,Commodity Price Shock,Agriculture,Mining company stock surges on commodity price boom | Commodity Price Shock | Agriculture | Medium | Negative | NSE Nifty,1,03081,1.00176,0.80176,0.0,0.2,negative,0.916112,-1,0.772329
22,2025-08-03,Mining company stock surges on commodity price boom,CNBC,Commodity Price Shock,Agriculture,Mining company stock surges on commodity price boom | Commodity Price Shock | Agriculture | Medium | Negative | NSE Nifty,2,03047,0.99556,0.79556,0.0,0.2,negative,0.916112,-1,0.767549
22,2025-08-03,Mining company stock surges on commodity price boom,CNBC,Commodity Price Shock,Agriculture,Mining company stock surges on commodity price boom | Commodity Price Shock | Agriculture | Medium | Negative | NSE Nifty,3,03175,0.991075,0.791075,0.0,0.2,negative,0.916112,-1,0.764091
23,2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,Regulatory Changes,Real Estate,Tech Giant's New Product Launch Sparks Sector-Wide Gains | Regulatory Changes | Real Estate | Low | Neutral | ASX 200,1,03169,0.794061,0.794061,0.0,0.0,positive,0.870487,1,0.966866
23,2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,Regulatory Changes,Real Estate,Tech Giant's New Product Launch Sparks Sector-Wide Gains | Regulatory Changes | Real Estate | Low | Neutral | ASX 200,2,03032,0.792115,0.792115,0.0,0.0,positive,0.870487,1,0.964496
23,2025-05-23,Tech Giant's New Product Launch Sparks Sector-Wide Gains,The Motley Fool,Regulatory Changes,Real Estate,Tech Giant's New Product Launch Sparks Sector-Wide Gains | Regulatory Changes | Real Estate | Low | Neutral | ASX 200,3,03477,0.791567,0.791567,0.0,0.0,positive,0.870487,1,0.963829
24,2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Economic Data Release,Utilities,Financial sector bracing for new capital requirements | Economic Data Release | Utilities | High | Positive | Euro Stoxx 50,1,03077,0.816223,0.816223,0.0,0.0,negative,0.87031,-1,0.638631
24,2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Economic Data Release,Utilities,Financial sector bracing for new capital requirements | Economic Data Release | Utilities | High | Positive | Euro Stoxx 50,2,03039,0.809876,0.809876,0.0,0.0,negative,0.87031,-1,0.633665
24,2025-03-12,Financial sector bracing for new capital requirements,Seeking Alpha,Economic Data Release,Utilities,Financial sector bracing for new capital requirements | Economic Data Release | Utilities | High | Positive | Euro Stoxx 50,3,03411,0.807913,0.807913,0.0,0.0,negative,0.87031,-1,0.632129
25,2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,IPO Launch,Construction,Major technology firm acquires a smaller rival in a multi-billion dollar deal | IPO Launch | Construction | Low | Hang Seng,1,03069,0.786815,0.786815,0.0,0.0,positive,0.692591,1,0.92305
25,2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,IPO Launch,Construction,Major technology firm acquires a smaller rival in a multi-billion dollar deal | IPO Launch | Construction | Low | Hang Seng,2,03174,0.785941,0.785941,0.0,0.0,positive,0.692591,1,0.922025
25,2025-06-30,Major technology firm acquires a smaller rival in a multi-billion dollar deal,The Motley Fool,IPO Launch,Construction,Major technology firm acquires a smaller rival in a multi-billion dollar deal | IPO Launch | Construction | Low | Hang Seng,3,03466,0.781971,0.781971,0.0,0.0,positive,0.692591,1,0.917368
26,2025-04-07,ASX 200 gains on strong export performance,Reuters,Stock Market Crash,Media & Entertainment,ASX 200 gains on strong export performance | Stock Market Crash | Media & Entertainment | High | Positive | TSX,1,03165,0.80421,0.80421,0.0,0.0,positive,0.942392,1,0.99368
26,2025-04-07,ASX 200 gains on strong export performance,Reuters,Stock Market Crash,Media & Entertainment,ASX 200 gains on strong export performance | Stock Market Crash | Media & Entertainment | High | Positive | TSX,2,03410,0.791032,0.791032,0.0,0.0,positive,0.942392,1,0.977398
26,2025-04-07,ASX 200 gains on strong export performance,Reuters,Stock Market Crash,Media & Entertainment,ASX 200 gains on strong export performance | Stock Market Crash | Media & Entertainment | High | Positive | TSX,3,03175,0.786672,0.786672,0.0,0.0,positive,0.942392,1,0.97201
27,2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Inflation Data Release,Industrials,ASX 200 gains on strong export performance | Inflation Data Release | Industrials | Low | Neutral | Russell 2000,1,03165,0.794509,0.794509,0.0,0.0,positive,0.942392,1,0.981694
27,2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Inflation Data Release,Industrials,ASX 200 gains on strong export performance | Inflation Data Release | Industrials | Low | Neutral | Russell 2000,2,03081,0.79408,0.79408,0.0,0.0,positive,0.942392,1,0.981164
27,2025-02-25,ASX 200 gains on strong export performance,The Motley Fool,Inflation Data Release,Industrials,ASX 200 gains on strong export performance | Inflation Data Release | Industrials | Low | Neutral | Russell 2000,3,03175,0.78454,0.78454,0.0,0.0,positive,0.942392,1,0.969376
28,2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Central Bank Meeting,Telecommunications,Bond yields tumble as investors seek safe havens | Central Bank Meeting | Telecommunications | Medium | Positive | Nikkei 225,1,03077,0.824468,0.824468,0.0,0.0,negative,0.953942,-1,0.627844
28,2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Central Bank Meeting,Telecommunications,Bond yields tumble as investors seek safe havens | Central Bank Meeting | Telecommunications | Medium | Positive | Nikkei 225,2,03039,0.811137,0.811137,0.0,0.0,negative,0.953942,-1,0.617693
28,2025-06-05,Bond yields tumble as investors seek safe havens,CNBC,Central Bank Meeting,Telecommunications,Bond yields tumble as investors seek safe havens | Central Bank Meeting | Telecommunications | Medium | Positive | Nikkei 225,3,03136,0.809293,0.809293,0.0,0.0,negative,0.953942,-1,0.616288
29,2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,Consumer Confidence Report,Media & Entertainment,Utilities sector remains stable during market fluctuations | Consumer Confidence Report | Media & Entertainment | High | Neutral | CAC 40,1,03179,0.79357,0.79357,0.0,0.0,positive,0.80296,1,0.952871
29,2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,Consumer Confidence Report,Media & Entertainment,Utilities sector remains stable during market fluctuations | Consumer Confidence Report | Media & Entertainment | High | Neutral | CAC 40,2,03115,0.790901,0.790901,0.0,0.0,positive,0.80296,1,0.949666
29,2025-07-14,Utilities sector remains stable during market fluctuations,Economic Times,Consumer Confidence Report,Media & Entertainment,Utilities sector remains stable during market fluctuations | Consumer Confidence Report | Media & Entertainment | High | Neutral | CAC 40,3,03175,0.790271,0.790271,0.0,0.0,positive,0.80296,1,0.94891
30,2025-07-30,Financial sector bracing for new capital requirements,Barron's,Inflation Data Release,Healthcare,Financial sector bracing for new capital requirements | Inflation Data Release | Healthcare | Low | Neutral | Nasdaq Composite,1,03077,0.821051,0.821051,0.0,0.0,negative,0.87031,-1,0.642409
30,2025-07-30,Financial sector bracing for new capital requirements,Barron's,Inflation Data Release,Healthcare,Financial sector bracing for new capital requirements | Inflation Data Release | Healthcare | Low | Neutral | Nasdaq Composite,2,03411,0.813402,0.813402,0.0,0.0,negative,0.87031,-1,0.636424
30,2025-07-30,Financial sector bracing for new capital requirements,Barron's,Inflation Data Release,Healthcare,Financial sector bracing for new capital requirements | Inflation Data Release | Healthcare | Low | Neutral | Nasdaq Composite,3,03081,0.806827,0.806827,0.0,0.0,negative,0.87031,-1,0.63128
31,2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Commodity Price Shock,Retail,Consumer Discretionary stocks outperform as spending increases | Commodity Price Shock | Retail | Medium | Positive | Russell 2000,1,02840,0.992405,0.792405,0.0,0.2,negative,0.789037,-1,0.796644
31,2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Commodity Price Shock,Retail,Consumer Discretionary stocks outperform as spending increases | Commodity Price Shock | Retail | Medium | Positive | Russell 2000,2,03175,0.991084,0.791084,0.0,0.2,negative,0.789037,-1,0.795583
31,2025-05-20,Consumer Discretionary stocks outperform as spending increases,Economic Times,Commodity Price Shock,Retail,Consumer Discretionary stocks outperform as spending increases | Commodity Price Shock | Retail | Medium | Positive | Russell 2000,3,02846,0.901802,0.801802,0.0,0.1,negative,0.789037,-1,0.723913
32,2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,Economic Data Release,Energy,Quarterly report shows surprising losses for retail giants | Economic Data Release | Energy | Low | Positive | IBOVESPA,1,03175,0.793046,0.793046,0.0,0.0,negative,0.808206,-1,0.63281
32,2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,Economic Data Release,Energy,Quarterly report shows surprising losses for retail giants | Economic Data Release | Energy | Low | Positive | IBOVESPA,2,03182,0.785302,0.785302,0.0,0.0,negative,0.808206,-1,0.626631
32,2025-03-23,Quarterly report shows surprising losses for retail giants,MarketWatch,Economic Data Release,Energy,Quarterly report shows surprising losses for retail giants | Economic Data Release | Energy | Low | Positive | IBOVESPA,3,02800,0.784027,0.784027,0.0,0.0,negative,0.808206,-1,0.625613
33,2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Currency Devaluation,Transportation,Major oil spill sends energy stocks plummeting | Currency Devaluation | Transportation | Low | Negative | Nikkei 225,1,03175,0.815826,0.815826,0.0,0.0,negative,0.95815,-1,0.620405
33,2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Currency Devaluation,Transportation,Major oil spill sends energy stocks plummeting | Currency Devaluation | Transportation | Low | Negative | Nikkei 225,2,03097,0.80888,0.80888,0.0,0.0,negative,0.95815,-1,0.615123
33,2025-08-14,Major oil spill sends energy stocks plummeting,Economic Times,Currency Devaluation,Transportation,Major oil spill sends energy stocks plummeting | Currency Devaluation | Transportation | Low | Negative | Nikkei 225,3,03153,0.808405,0.808405,0.0,0.0,negative,0.95815,-1,0.614762
34,2025-03-22,China's Shanghai Composite falls after new trade restrictions,The Economist,Economic Data Release,Utilities,China's Shanghai Composite falls after new trade restrictions | Economic Data Release | Utilities | Low | Positive | Nikkei 225,1,03005,0.908475,0.808475,0.0,0.1,negative,0.949947,-1,0.692724
34,2025-03-22,China's Shanghai Composite falls after new trade restrictions,The Economist,Economic Data Release,Utilities,China's Shanghai Composite falls after new trade restrictions | Economic Data Release | Utilities | Low | Positive | Nikkei 225,2,03182,0.906366,0.806366,0.0,0.1,negative,0.949947,-1,0.691116
