id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03412_qa_00020,03412,en,How do HKD and RMB counters work for ETF 03412?,"(Hong Kong time) on 14 June 2024, or such other date as the Manager may determine Initial Issue Date 18 June 2024, or such other date as the Manager may determine Issue Price during the Initial Offer Period USD 1, or such other price as the Manager may determine Listing Date (SEHK) Expected to be 19 June 2024 Exchange Listing SEHK – Main Board Stock Code 3426 Short Stock Name A DOO WEB3 Trading Board Lot Size 100 Shares Base Currency USD Trading Currency HKD Distribution Policy Annually (usually in December of each",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,142,currency_counter
03412_qa_00021,03412,en,What fees and charges apply to ETF 03412?,"feeder fund) and its underlying master fund must be clearly disclosed; (3) unless otherwise approved by the SFC, no increase in the overall total of initial charges, redemption charges, the Manager’s annual fee, or any other costs and charges payable to the Manager or any of its Connected Persons borne by the Shareholders or by the Sub-Fund (i.e. Participating Dealers are under no obligation to create or redeem generally or for their clients and may charge their clients such fee or fees as such Participating Dealer",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,125,fees_charges
03412_qa_00022,03412,en,How closely does ETF 03412 aim to replicate its benchmark?,"“Index Tracking Sub-Fund” means a Sub-Fund with a principal objective to track, replicate or correspond to a financial index or benchmark, with an aim of providing or achieving investment results or returns that closely match or correspond to the performance of the Index that it tracks and has been authorised by the SFC under Chapter 8.6 of the UT Code. Index Tracking Sub-Funds Each Index Tracking Sub-Fund will adopt either a full replication or a representative sampling strategy. Full Replication Strategy Where an",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,22,objective_strategy
03412_qa_00023,03412,en,How do management and trustee fees work for ETF 03412?,"feeder fund) and its underlying master fund must be clearly disclosed; (3) unless otherwise approved by the SFC, no increase in the overall total of initial charges, redemption charges, the Manager’s annual fee, or any other costs and charges payable to the Manager or any of its Connected Persons borne by the Shareholders or by the Sub-Fund (i.e. ** Please refer to the section headed “FEES AND EXPENSES” for further details.",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,125,fees_charges
03412_qa_00024,03412,en,What are the termination conditions for ETF 03412?,"Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code will be observed by the Manager including as to notices to Shareholders, withdrawal of authorisation and termination, as may be applicable. The retirement or removal or termination of appointment of the Manager should take effect at the same time as the new Manager takes up office. The Manager shall consider any Redemption Application or any Creation Application received during the period of suspension (that has not",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination
03412_qa_00025,03412,zh-HK,這隻ETF一般在何時派息（03412）？,"根據基金文件：“Income Property” means, in respect of a Sub-Fund, (a) all interest, dividends and other sums deemed by the Manager, (after consulting the Auditor either on a general or case by case basis), to be in the nature of income (including taxation repayments, if any) received or receivable by the Custodian in respect of the Deposited Property of the relevant Sub-Fund (whether in cash or, without limitation, by warrant, cheque, money, credit or otherwise or the proceeds of sale or transfer of any Income Property received i",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,58,dividend_zh
03412_qa_00026,03412,zh-HK,這隻ETF有哪些主要風險（03412）？,根據基金文件：Single Region/Single Industry Sector/Concentration Risk A Sub -Fund may be subject to concentration risk as a result of having a strategy of concentrating in a single region or industry sector or (for an Index Tracking Sub-Fund) tracking the performance of a single geographical region or country or industry sector. Collateral should normally trade in a deep and liquid marketplace with transparent pricing; Valuation – collateral should be marked-to-market daily by using independent pricing source; Credit quality – a,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,340,key_risks_zh
03412_qa_00027,03412,en,What are the key trading and ongoing costs for ETF 03412?,"Trading Fees and Taxes In addition to paying trading fees and stamp duties in connection with A-Share trading, a Sub-Fund may be subject to other fees and taxes concerned with income arising from stock transfers which are determined by the relevant authorities. feeder fund) and its underlying master fund must be clearly disclosed; (3) unless otherwise approved by the SFC, no increase in the overall total of initial charges, redemption charges, the Manager’s annual fee, or any other costs and charges payable to the",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,125,fees_charges
03412_qa_00028,03412,en,How does ETF 03412 implement its index-tracking strategy?,"The investment objective of each actively managed Sub-Fund is set out in the relevant Appendix. “Index Tracking Sub-Fund” means a Sub-Fund with a principal objective to track, replicate or correspond to a financial index or benchmark, with an aim of providing or achieving investment results or returns that closely match or correspond to the performance of the Index that it tracks and has been authorised by the SFC under Chapter 8.6 of the UT Code.",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,22,objective_strategy
03412_qa_00029,03412,zh-HK,這隻ETF在甚麼情況下可能被終止（03412）？,"根據基金文件：In the event that the Custodian shall retire or be removed or its appointment shall otherwise terminate, the Company shall appoint another corporation eligible under the Laws and Regulations to act as a custodian of an OFC which is approved by the SFC to be the Custodian in place of the Custodian so retiring or being removed on or before the expiry of any period of notice of such retirement, removal or termination. Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code w",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination_zh
03412_qa_00030,03412,zh-HK,這隻ETF在貨幣及交易櫃台方面有甚麼注意事項（03412）？,"根據基金文件：(Hong Kong time) on 14 June 2024, or such other date as the Manager may determine Initial Issue Date 18 June 2024, or such other date as the Manager may determine Issue Price during the Initial Offer Period USD 1, or such other price as the Manager may determine Listing Date (SEHK) Expected to be 19 June 2024 Exchange Listing SEHK – Main Board Stock Code 3412 Short Stock Name A DOO PAYMENTS Trading Board Lot Size 100 Shares Base Currency USD Trading Currency HKD Distribution Policy Annually (usually in December of",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,142,currency_counter_zh
03412_qa_00031,03412,zh-HK,這隻ETF如何執行其追蹤策略（03412）？,"根據基金文件：Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code will be observed by the Manager including as to notices to Shareholders, withdrawal of authorisation and termination, as may be applicable. The retirement or removal or termination of appointment of the Manager should take effect at the same time as the new Manager takes up office.",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination_zh
03412_qa_00032,03412,en,What currency-related trading considerations apply to ETF 03412?,"(Hong Kong time) on 14 June 2024, or such other date as the Manager may determine Initial Issue Date 18 June 2024, or such other date as the Manager may determine Issue Price during the Initial Offer Period USD 1, or such other price as the Manager may determine Listing Date (SEHK) Expected to be 19 June 2024 Exchange Listing SEHK – Main Board Stock Code 3412 Short Stock Name A DOO PAYMENTS Trading Board Lot Size 100 Shares Base Currency USD Trading Currency HKD Distribution Policy Annually (usually in December of",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,142,currency_counter
03412_qa_00033,03412,en,How does low NAV affect termination risk for ETF 03412?,"Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code will be observed by the Manager including as to notices to Shareholders, withdrawal of authorisation and termination, as may be applicable. The retirement or removal or termination of appointment of the Manager should take effect at the same time as the new Manager takes up office.",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination
03412_qa_00034,03412,en,Are dividend payouts guaranteed for ETF 03412?,"Furthermore, distribution of this Prospectus (including the KFS) shall not be permitted unless it is accompanied by a copy of the latest annual financial report of the Sub-Fund(s) (where existing) and, if later, its most recent interim report. Dividends May Not be Paid Risk Whether a Sub-Fund will pay distributions on its Shares is subject to the Manager’s distribution policy (as described in the relevant Appendix) and also mainly depends on dividends declared and paid in respect of the Securities comprising the In",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,58,dividend
03412_qa_00035,03412,en,What equity market risks affect ETF 03412?,"Compared to equity Securities, FDIs can be more sensitive to changes in market prices of the underlying assets and thus market prices of FDIs may fall in value as rapidly as they may rise.",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,645,single_sentence
03412_qa_00036,03412,zh-HK,哪些風險可能導致這隻ETF出現虧損（03412）？,根據基金文件：Collateral should normally trade in a deep and liquid marketplace with transparent pricing; Valuation – collateral should be marked-to-market daily by using independent pricing source; Credit quality – asset used as collateral must be of high credit quality and should be replaced immediately as soon as the credit quality of the collateral or the issuer of the asset being used as collateral has deteriorated to such a degree that it would undermine the effectiveness of the collateral; Haircut – collateral should be s,03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,340,key_risks_zh
03412_qa_00037,03412,zh-HK,這隻ETF的雙櫃台交易有甚麼風險（03412）？,"根據基金文件：(Hong Kong time) on 14 June 2024, or such other date as the Manager may determine Initial Issue Date 18 June 2024, or such other date as the Manager may determine Issue Price during the Initial Offer Period USD 1, or such other price as the Manager may determine Listing Date (SEHK) Expected to be 19 June 2024 Exchange Listing SEHK – Main Board Stock Code 3413 Short Stock Name A DOO AI Trading Board Lot Size 100 Shares Base Currency USD Trading Currency HKD Distribution Policy Annually (usually in December of each y",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,142,currency_counter_zh
03412_qa_00038,03412,en,How does dividend distribution work for ETF 03412?,"A distributor may re-allocate an amount of the distribution fee to the sub-distributors. The Manager may pay a distribution fee to any distributor or sub-distributors of the Company out of the Management Fee it receives from the Company. Furthermore, distribution of this Prospectus (including the KFS) shall not be permitted unless it is accompanied by a copy of the latest annual financial report of the Sub-Fund(s) (where existing) and, if later, its most recent interim report. No action has been taken to permit an",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,58,dividend
03412_qa_00039,03412,zh-HK,這隻ETF在甚麼情況下可能終止（03412）？,"根據基金文件：Where the relevant Sub -Fund remains authorised by the SFC, such procedures required by the UT Code will be observed by the Manager including as to notices to Shareholders, withdrawal of authorisation and termination, as may be applicable. The retirement or removal or termination of appointment of the Manager should take effect at the same time as the new Manager takes up office. The Manager shall consider any Redemption Application or any Creation Application received during the period of suspension (that has not",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,453,termination_zh
03412_qa_00040,03412,en,What is the derivative exposure framework for ETF 03412?,"Doo Financial HK Limited as Manager of the Company and the Sub-Funds Date: 20August 2024 DOO HK ETF SERIES OFC (a Hong Kong public umbrella open-ended fund company with variable capital, limited liability and segregated liability between sub-funds and authorised under section 104 of the Securities and Futures Ordinance (Cap. “Default” means a failure by a Participating Dealer in respect of: (a) a Creation Application to deliver the requisite Securities, Futures Contracts and/or any relevant cash amount; or (b) a Re",03412_FIRST_ADDENDUM_TO_THE_PROSPECTUS.csv,3,derivatives
