concept_id,domain,variant_id,base_meaning,headline
3,commodity,9,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings face renewed risk after commodity market briefing signaled raw material shortage.
3,commodity,10,commodity market briefing signals raw material shortage for commodity-linked holdings,"raw material shortage expectations increased following commodity market briefing, impacting commodity-linked holdings."
3,commodity,11,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity market briefing has shifted expectations toward raw material shortage for commodity-linked holdings.
3,commodity,12,commodity market briefing signals raw material shortage for commodity-linked holdings,"With commodity market briefing released, commodity-linked holdings are exposed to raw material shortage."
3,commodity,13,commodity market briefing signals raw material shortage for commodity-linked holdings,"commodity-linked holdings are sensitive to raw material shortage, and commodity market briefing reinforces that view."
3,commodity,14,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity market briefing reinforces raw material shortage concerns around commodity-linked holdings.
3,commodity,15,commodity market briefing signals raw material shortage for commodity-linked holdings,raw material shortage risk is rising for commodity-linked holdings as shown by commodity market briefing.
3,commodity,16,commodity market briefing signals raw material shortage for commodity-linked holdings,"The message from commodity market briefing is raw material shortage, which affects commodity-linked holdings."
3,commodity,17,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings are being reassessed since commodity market briefing indicates raw material shortage.
3,commodity,18,commodity market briefing signals raw material shortage for commodity-linked holdings,"Following commodity market briefing, traders link commodity-linked holdings to raw material shortage."
3,commodity,19,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity market briefing and raw material shortage together are driving repricing in commodity-linked holdings.
3,commodity,20,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings pricing now reflects raw material shortage signaled by commodity market briefing.
4,crypto,1,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto regulation hearing is signaling bitcoin volatility for crypto and digital-asset proxies.
4,crypto,2,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies are reacting as crypto regulation hearing points to bitcoin volatility.
4,crypto,3,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"crypto regulation hearing now suggests bitcoin volatility, putting pressure on crypto and digital-asset proxies."
4,crypto,4,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies are being repriced because crypto regulation hearing indicates bitcoin volatility.
4,crypto,5,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"bitcoin volatility is being signaled by crypto regulation hearing, affecting crypto and digital-asset proxies."
4,crypto,6,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"After crypto regulation hearing, markets are pricing in bitcoin volatility for crypto and digital-asset proxies."
4,crypto,7,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"crypto regulation hearing implies bitcoin volatility, so crypto and digital-asset proxies are under review."
4,crypto,8,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,Investors read crypto regulation hearing as a sign of bitcoin volatility for crypto and digital-asset proxies.
4,crypto,9,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies face renewed risk after crypto regulation hearing signaled bitcoin volatility.
4,crypto,10,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"bitcoin volatility expectations increased following crypto regulation hearing, impacting crypto and digital-asset proxies."
4,crypto,11,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto regulation hearing has shifted expectations toward bitcoin volatility for crypto and digital-asset proxies.
4,crypto,12,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"With crypto regulation hearing released, crypto and digital-asset proxies are exposed to bitcoin volatility."
4,crypto,13,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"crypto and digital-asset proxies are sensitive to bitcoin volatility, and crypto regulation hearing reinforces that view."
4,crypto,14,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto regulation hearing reinforces bitcoin volatility concerns around crypto and digital-asset proxies.
4,crypto,15,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,bitcoin volatility risk is rising for crypto and digital-asset proxies as shown by crypto regulation hearing.
4,crypto,16,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"The message from crypto regulation hearing is bitcoin volatility, which affects crypto and digital-asset proxies."
4,crypto,17,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies are being reassessed since crypto regulation hearing indicates bitcoin volatility.
4,crypto,18,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"Following crypto regulation hearing, traders link crypto and digital-asset proxies to bitcoin volatility."
4,crypto,19,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto regulation hearing and bitcoin volatility together are driving repricing in crypto and digital-asset proxies.
4,crypto,20,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies pricing now reflects bitcoin volatility signaled by crypto regulation hearing.
5,fx,1,FX reserve update signals rmb weakness for currency-sensitive allocations,FX reserve update is signaling rmb weakness for currency-sensitive allocations.
5,fx,2,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations are reacting as FX reserve update points to rmb weakness.
5,fx,3,FX reserve update signals rmb weakness for currency-sensitive allocations,"FX reserve update now suggests rmb weakness, putting pressure on currency-sensitive allocations."
5,fx,4,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations are being repriced because FX reserve update indicates rmb weakness.
5,fx,5,FX reserve update signals rmb weakness for currency-sensitive allocations,"rmb weakness is being signaled by FX reserve update, affecting currency-sensitive allocations."
5,fx,6,FX reserve update signals rmb weakness for currency-sensitive allocations,"After FX reserve update, markets are pricing in rmb weakness for currency-sensitive allocations."
5,fx,7,FX reserve update signals rmb weakness for currency-sensitive allocations,"FX reserve update implies rmb weakness, so currency-sensitive allocations are under review."
5,fx,8,FX reserve update signals rmb weakness for currency-sensitive allocations,Investors read FX reserve update as a sign of rmb weakness for currency-sensitive allocations.
5,fx,9,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations face renewed risk after FX reserve update signaled rmb weakness.
5,fx,10,FX reserve update signals rmb weakness for currency-sensitive allocations,"rmb weakness expectations increased following FX reserve update, impacting currency-sensitive allocations."
5,fx,11,FX reserve update signals rmb weakness for currency-sensitive allocations,FX reserve update has shifted expectations toward rmb weakness for currency-sensitive allocations.
5,fx,12,FX reserve update signals rmb weakness for currency-sensitive allocations,"With FX reserve update released, currency-sensitive allocations are exposed to rmb weakness."
5,fx,13,FX reserve update signals rmb weakness for currency-sensitive allocations,"currency-sensitive allocations are sensitive to rmb weakness, and FX reserve update reinforces that view."
5,fx,14,FX reserve update signals rmb weakness for currency-sensitive allocations,FX reserve update reinforces rmb weakness concerns around currency-sensitive allocations.
5,fx,15,FX reserve update signals rmb weakness for currency-sensitive allocations,rmb weakness risk is rising for currency-sensitive allocations as shown by FX reserve update.
5,fx,16,FX reserve update signals rmb weakness for currency-sensitive allocations,"The message from FX reserve update is rmb weakness, which affects currency-sensitive allocations."
5,fx,17,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations are being reassessed since FX reserve update indicates rmb weakness.
5,fx,18,FX reserve update signals rmb weakness for currency-sensitive allocations,"Following FX reserve update, traders link currency-sensitive allocations to rmb weakness."
5,fx,19,FX reserve update signals rmb weakness for currency-sensitive allocations,FX reserve update and rmb weakness together are driving repricing in currency-sensitive allocations.
5,fx,20,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations pricing now reflects rmb weakness signaled by FX reserve update.
6,credit,1,default cycle signal signals default risk repricing for corporate credit exposures,default cycle signal is signaling default risk repricing for corporate credit exposures.
6,credit,2,default cycle signal signals default risk repricing for corporate credit exposures,corporate credit exposures are reacting as default cycle signal points to default risk repricing.
6,credit,3,default cycle signal signals default risk repricing for corporate credit exposures,"default cycle signal now suggests default risk repricing, putting pressure on corporate credit exposures."
6,credit,4,default cycle signal signals default risk repricing for corporate credit exposures,corporate credit exposures are being repriced because default cycle signal indicates default risk repricing.
6,credit,5,default cycle signal signals default risk repricing for corporate credit exposures,"default risk repricing is being signaled by default cycle signal, affecting corporate credit exposures."
6,credit,6,default cycle signal signals default risk repricing for corporate credit exposures,"After default cycle signal, markets are pricing in default risk repricing for corporate credit exposures."
6,credit,7,default cycle signal signals default risk repricing for corporate credit exposures,"default cycle signal implies default risk repricing, so corporate credit exposures are under review."
6,credit,8,default cycle signal signals default risk repricing for corporate credit exposures,Investors read default cycle signal as a sign of default risk repricing for corporate credit exposures.
6,credit,9,default cycle signal signals default risk repricing for corporate credit exposures,corporate credit exposures face renewed risk after default cycle signal signaled default risk repricing.
6,credit,10,default cycle signal signals default risk repricing for corporate credit exposures,"default risk repricing expectations increased following default cycle signal, impacting corporate credit exposures."
6,credit,11,default cycle signal signals default risk repricing for corporate credit exposures,default cycle signal has shifted expectations toward default risk repricing for corporate credit exposures.
6,credit,12,default cycle signal signals default risk repricing for corporate credit exposures,"With default cycle signal released, corporate credit exposures are exposed to default risk repricing."
6,credit,13,default cycle signal signals default risk repricing for corporate credit exposures,"corporate credit exposures are sensitive to default risk repricing, and default cycle signal reinforces that view."
6,credit,14,default cycle signal signals default risk repricing for corporate credit exposures,default cycle signal reinforces default risk repricing concerns around corporate credit exposures.
6,credit,15,default cycle signal signals default risk repricing for corporate credit exposures,default risk repricing risk is rising for corporate credit exposures as shown by default cycle signal.
6,credit,16,default cycle signal signals default risk repricing for corporate credit exposures,"The message from default cycle signal is default risk repricing, which affects corporate credit exposures."
6,credit,17,default cycle signal signals default risk repricing for corporate credit exposures,corporate credit exposures are being reassessed since default cycle signal indicates default risk repricing.
6,credit,18,default cycle signal signals default risk repricing for corporate credit exposures,"Following default cycle signal, traders link corporate credit exposures to default risk repricing."
6,credit,19,default cycle signal signals default risk repricing for corporate credit exposures,default cycle signal and default risk repricing together are driving repricing in corporate credit exposures.
6,credit,20,default cycle signal signals default risk repricing for corporate credit exposures,corporate credit exposures pricing now reflects default risk repricing signaled by default cycle signal.
7,china,1,China policy meeting signals policy easing for mainland and china policy trades,China policy meeting is signaling policy easing for mainland and china policy trades.
7,china,2,China policy meeting signals policy easing for mainland and china policy trades,mainland and china policy trades are reacting as China policy meeting points to policy easing.
7,china,3,China policy meeting signals policy easing for mainland and china policy trades,"China policy meeting now suggests policy easing, putting pressure on mainland and china policy trades."
7,china,4,China policy meeting signals policy easing for mainland and china policy trades,mainland and china policy trades are being repriced because China policy meeting indicates policy easing.
7,china,5,China policy meeting signals policy easing for mainland and china policy trades,"policy easing is being signaled by China policy meeting, affecting mainland and china policy trades."
7,china,6,China policy meeting signals policy easing for mainland and china policy trades,"After China policy meeting, markets are pricing in policy easing for mainland and china policy trades."
7,china,7,China policy meeting signals policy easing for mainland and china policy trades,"China policy meeting implies policy easing, so mainland and china policy trades are under review."
7,china,8,China policy meeting signals policy easing for mainland and china policy trades,Investors read China policy meeting as a sign of policy easing for mainland and china policy trades.
7,china,9,China policy meeting signals policy easing for mainland and china policy trades,mainland and china policy trades face renewed risk after China policy meeting signaled policy easing.
7,china,10,China policy meeting signals policy easing for mainland and china policy trades,"policy easing expectations increased following China policy meeting, impacting mainland and china policy trades."
7,china,11,China policy meeting signals policy easing for mainland and china policy trades,China policy meeting has shifted expectations toward policy easing for mainland and china policy trades.
7,china,12,China policy meeting signals policy easing for mainland and china policy trades,"With China policy meeting released, mainland and china policy trades are exposed to policy easing."
7,china,13,China policy meeting signals policy easing for mainland and china policy trades,"mainland and china policy trades are sensitive to policy easing, and China policy meeting reinforces that view."
7,china,14,China policy meeting signals policy easing for mainland and china policy trades,China policy meeting reinforces policy easing concerns around mainland and china policy trades.
7,china,15,China policy meeting signals policy easing for mainland and china policy trades,policy easing risk is rising for mainland and china policy trades as shown by China policy meeting.
7,china,16,China policy meeting signals policy easing for mainland and china policy trades,"The message from China policy meeting is policy easing, which affects mainland and china policy trades."
7,china,17,China policy meeting signals policy easing for mainland and china policy trades,mainland and china policy trades are being reassessed since China policy meeting indicates policy easing.
7,china,18,China policy meeting signals policy easing for mainland and china policy trades,"Following China policy meeting, traders link mainland and china policy trades to policy easing."
7,china,19,China policy meeting signals policy easing for mainland and china policy trades,China policy meeting and policy easing together are driving repricing in mainland and china policy trades.
7,china,20,China policy meeting signals policy easing for mainland and china policy trades,mainland and china policy trades pricing now reflects policy easing signaled by China policy meeting.
8,us_macro,1,Fed communication signals labor data miss for us macro-sensitive allocations,Fed communication is signaling labor data miss for us macro-sensitive allocations.
8,us_macro,2,Fed communication signals labor data miss for us macro-sensitive allocations,us macro-sensitive allocations are reacting as Fed communication points to labor data miss.
8,us_macro,3,Fed communication signals labor data miss for us macro-sensitive allocations,"Fed communication now suggests labor data miss, putting pressure on us macro-sensitive allocations."
8,us_macro,4,Fed communication signals labor data miss for us macro-sensitive allocations,us macro-sensitive allocations are being repriced because Fed communication indicates labor data miss.
8,us_macro,5,Fed communication signals labor data miss for us macro-sensitive allocations,"labor data miss is being signaled by Fed communication, affecting us macro-sensitive allocations."
8,us_macro,6,Fed communication signals labor data miss for us macro-sensitive allocations,"After Fed communication, markets are pricing in labor data miss for us macro-sensitive allocations."
8,us_macro,7,Fed communication signals labor data miss for us macro-sensitive allocations,"Fed communication implies labor data miss, so us macro-sensitive allocations are under review."
8,us_macro,8,Fed communication signals labor data miss for us macro-sensitive allocations,Investors read Fed communication as a sign of labor data miss for us macro-sensitive allocations.
8,us_macro,9,Fed communication signals labor data miss for us macro-sensitive allocations,us macro-sensitive allocations face renewed risk after Fed communication signaled labor data miss.
8,us_macro,10,Fed communication signals labor data miss for us macro-sensitive allocations,"labor data miss expectations increased following Fed communication, impacting us macro-sensitive allocations."
8,us_macro,11,Fed communication signals labor data miss for us macro-sensitive allocations,Fed communication has shifted expectations toward labor data miss for us macro-sensitive allocations.
8,us_macro,12,Fed communication signals labor data miss for us macro-sensitive allocations,"With Fed communication released, us macro-sensitive allocations are exposed to labor data miss."
8,us_macro,13,Fed communication signals labor data miss for us macro-sensitive allocations,"us macro-sensitive allocations are sensitive to labor data miss, and Fed communication reinforces that view."
8,us_macro,14,Fed communication signals labor data miss for us macro-sensitive allocations,Fed communication reinforces labor data miss concerns around us macro-sensitive allocations.
8,us_macro,15,Fed communication signals labor data miss for us macro-sensitive allocations,labor data miss risk is rising for us macro-sensitive allocations as shown by Fed communication.
8,us_macro,16,Fed communication signals labor data miss for us macro-sensitive allocations,"The message from Fed communication is labor data miss, which affects us macro-sensitive allocations."
8,us_macro,17,Fed communication signals labor data miss for us macro-sensitive allocations,us macro-sensitive allocations are being reassessed since Fed communication indicates labor data miss.
8,us_macro,18,Fed communication signals labor data miss for us macro-sensitive allocations,"Following Fed communication, traders link us macro-sensitive allocations to labor data miss."
8,us_macro,19,Fed communication signals labor data miss for us macro-sensitive allocations,Fed communication and labor data miss together are driving repricing in us macro-sensitive allocations.
8,us_macro,20,Fed communication signals labor data miss for us macro-sensitive allocations,us macro-sensitive allocations pricing now reflects labor data miss signaled by Fed communication.
9,tech,1,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,semiconductor cycle briefing is signaling software demand slowdown for technology and innovation themes.
9,tech,2,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,technology and innovation themes are reacting as semiconductor cycle briefing points to software demand slowdown.
9,tech,3,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"semiconductor cycle briefing now suggests software demand slowdown, putting pressure on technology and innovation themes."
9,tech,4,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,technology and innovation themes are being repriced because semiconductor cycle briefing indicates software demand slowdown.
9,tech,5,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"software demand slowdown is being signaled by semiconductor cycle briefing, affecting technology and innovation themes."
9,tech,6,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"After semiconductor cycle briefing, markets are pricing in software demand slowdown for technology and innovation themes."
9,tech,7,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"semiconductor cycle briefing implies software demand slowdown, so technology and innovation themes are under review."
9,tech,8,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,Investors read semiconductor cycle briefing as a sign of software demand slowdown for technology and innovation themes.
9,tech,9,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,technology and innovation themes face renewed risk after semiconductor cycle briefing signaled software demand slowdown.
9,tech,10,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"software demand slowdown expectations increased following semiconductor cycle briefing, impacting technology and innovation themes."
9,tech,11,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,semiconductor cycle briefing has shifted expectations toward software demand slowdown for technology and innovation themes.
9,tech,12,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"With semiconductor cycle briefing released, technology and innovation themes are exposed to software demand slowdown."
9,tech,13,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"technology and innovation themes are sensitive to software demand slowdown, and semiconductor cycle briefing reinforces that view."
9,tech,14,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,semiconductor cycle briefing reinforces software demand slowdown concerns around technology and innovation themes.
9,tech,15,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,software demand slowdown risk is rising for technology and innovation themes as shown by semiconductor cycle briefing.
9,tech,16,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"The message from semiconductor cycle briefing is software demand slowdown, which affects technology and innovation themes."
9,tech,17,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,technology and innovation themes are being reassessed since semiconductor cycle briefing indicates software demand slowdown.
9,tech,18,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,"Following semiconductor cycle briefing, traders link technology and innovation themes to software demand slowdown."
9,tech,19,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,semiconductor cycle briefing and software demand slowdown together are driving repricing in technology and innovation themes.
9,tech,20,semiconductor cycle briefing signals software demand slowdown for technology and innovation themes,technology and innovation themes pricing now reflects software demand slowdown signaled by semiconductor cycle briefing.
10,money_market,1,short-rate policy update signals short-rate repricing for cash and money-market sleeves,short-rate policy update is signaling short-rate repricing for cash and money-market sleeves.
10,money_market,2,short-rate policy update signals short-rate repricing for cash and money-market sleeves,cash and money-market sleeves are reacting as short-rate policy update points to short-rate repricing.
10,money_market,3,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"short-rate policy update now suggests short-rate repricing, putting pressure on cash and money-market sleeves."
10,money_market,4,short-rate policy update signals short-rate repricing for cash and money-market sleeves,cash and money-market sleeves are being repriced because short-rate policy update indicates short-rate repricing.
10,money_market,5,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"short-rate repricing is being signaled by short-rate policy update, affecting cash and money-market sleeves."
10,money_market,6,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"After short-rate policy update, markets are pricing in short-rate repricing for cash and money-market sleeves."
10,money_market,7,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"short-rate policy update implies short-rate repricing, so cash and money-market sleeves are under review."
10,money_market,8,short-rate policy update signals short-rate repricing for cash and money-market sleeves,Investors read short-rate policy update as a sign of short-rate repricing for cash and money-market sleeves.
10,money_market,9,short-rate policy update signals short-rate repricing for cash and money-market sleeves,cash and money-market sleeves face renewed risk after short-rate policy update signaled short-rate repricing.
10,money_market,10,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"short-rate repricing expectations increased following short-rate policy update, impacting cash and money-market sleeves."
10,money_market,11,short-rate policy update signals short-rate repricing for cash and money-market sleeves,short-rate policy update has shifted expectations toward short-rate repricing for cash and money-market sleeves.
10,money_market,12,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"With short-rate policy update released, cash and money-market sleeves are exposed to short-rate repricing."
10,money_market,13,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"cash and money-market sleeves are sensitive to short-rate repricing, and short-rate policy update reinforces that view."
10,money_market,14,short-rate policy update signals short-rate repricing for cash and money-market sleeves,short-rate policy update reinforces short-rate repricing concerns around cash and money-market sleeves.
10,money_market,15,short-rate policy update signals short-rate repricing for cash and money-market sleeves,short-rate repricing risk is rising for cash and money-market sleeves as shown by short-rate policy update.
10,money_market,16,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"The message from short-rate policy update is short-rate repricing, which affects cash and money-market sleeves."
10,money_market,17,short-rate policy update signals short-rate repricing for cash and money-market sleeves,cash and money-market sleeves are being reassessed since short-rate policy update indicates short-rate repricing.
10,money_market,18,short-rate policy update signals short-rate repricing for cash and money-market sleeves,"Following short-rate policy update, traders link cash and money-market sleeves to short-rate repricing."
10,money_market,19,short-rate policy update signals short-rate repricing for cash and money-market sleeves,short-rate policy update and short-rate repricing together are driving repricing in cash and money-market sleeves.
10,money_market,20,short-rate policy update signals short-rate repricing for cash and money-market sleeves,cash and money-market sleeves pricing now reflects short-rate repricing signaled by short-rate policy update.
11,equity,1,corporate guidance release signals revenue slowdown for regional equity baskets,corporate guidance release is signaling revenue slowdown for regional equity baskets.
11,equity,2,corporate guidance release signals revenue slowdown for regional equity baskets,regional equity baskets are reacting as corporate guidance release points to revenue slowdown.
11,equity,3,corporate guidance release signals revenue slowdown for regional equity baskets,"corporate guidance release now suggests revenue slowdown, putting pressure on regional equity baskets."
